"id","highTeam.x","season.x","lowTeam.x","pred","lowTeamSeed","highTeamSeed","lowSeed","highSeed","lowTeamWins","lowTeamLosses","highTeamWins","highTeamLosses","lowTeamWinRate","highTeamWinRate","season.y","daynum","wteam","wscore","lteam","lscore","numot","lowTeamWon","lowTeam.y","highTeam.y","lhWinDiff","pred.algo","pred.lhWinDiff","pred.seeds"
"N_503_577","577","N","503",0.318895173453997,"X13","W02","13","02",22,12,28,6,0.647058823529412,0.823529411764706,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.176470588235294,0.282051282051282,0.323529411764706,0.17
"N_503_586","586","N","503",0.501026069518717,"X13","W16","13","16",22,12,22,10,0.647058823529412,0.6875,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0404411764705882,0.454545454545455,0.459558823529412,0.59
"N_503_595","595","N","503",0.392338766832034,"X13","W05","13","05",22,12,25,9,0.647058823529412,0.735294117647059,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0882352941176471,0.397590361445783,0.411764705882353,0.26
"N_503_607","607","N","503",0.203004543280727,"X13","X04","13","04",22,12,25,5,0.647058823529412,0.833333333333333,"N",136,607,77,503,64,0,0,503,607,-0.186274509803922,0.268292682926829,0.313725490196078,0.23
"N_503_623","623","N","503",0.396798375916023,"X13","X05","13","05",22,12,24,9,0.647058823529412,0.727272727272727,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0802139037433155,0.407407407407407,0.419786096256685,0.26
"N_503_636","636","N","503",0.35125396799689,"X13","Y03","13","03",22,12,25,7,0.647058823529412,0.78125,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.134191176470588,0.33920704845815,0.365808823529412,0.2
"N_503_651","651","N","503",0.296302686586253,"X13","Y01","13","01",22,12,28,5,0.647058823529412,0.848484848484849,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.201426024955437,0.246636771300448,0.298573975044563,0.14
"N_503_655","655","N","503",0.384913034663729,"X13","X08","13","08",22,12,26,7,0.647058823529412,0.787878787878788,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.140819964349376,0.330472103004292,0.359180035650624,0.35
"N_503_660","660","N","503",0.404298375916023,"X13","Z06","13","06",22,12,24,9,0.647058823529412,0.727272727272727,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0802139037433155,0.407407407407407,0.419786096256685,0.29
"N_503_662","662","N","503",0.498681113302563,"X13","Z10","13","10",22,12,20,13,0.647058823529412,0.606060606060606,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.0409982174688057,0.543726235741445,0.540998217468806,0.41
"N_503_666","666","N","503",0.263994762288477,"X13","Z02","13","02",22,12,31,3,0.647058823529412,0.911764705882353,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.264705882352941,0.150684931506849,0.235294117647059,0.17
"N_503_670","670","N","503",0.504932264248112,"X13","X10","13","10",22,12,19,13,0.647058823529412,0.59375,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.0533088235294118,0.556420233463035,0.553308823529412,0.41
"N_503_671","671","N","503",0.325464030206677,"X13","Y02","13","02",22,12,26,6,0.647058823529412,0.8125,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.165441176470588,0.297297297297297,0.334558823529412,0.17
"N_503_673","673","N","503",0.461435290901489,"X13","W10","13","10",22,12,21,10,0.647058823529412,0.67741935483871,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0303605313092978,0.466101694915254,0.469639468690702,0.41
"N_503_675","675","N","503",0.5,"X13","Z13","13","13",22,12,22,12,0.647058823529412,0.647058823529412,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0,0.5,0.5,0.5
"N_503_676","676","N","503",0.326395173453997,"X13","Z03","13","03",22,12,28,6,0.647058823529412,0.823529411764706,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.176470588235294,0.282051282051282,0.323529411764706,0.2
"N_503_682","682","N","503",0.580946587904825,"X13","Y16b","13","16",22,12,17,15,0.647058823529412,0.53125,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.115808823529412,0.617977528089888,0.615808823529412,0.59
"N_503_683","683","N","503",0.504663256606991,"X13","X15","13","15",22,12,22,11,0.647058823529412,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0196078431372548,0.478260869565217,0.480392156862745,0.56
"N_503_689","689","N","503",0.422836134453781,"X13","Y14","13","14",22,12,24,6,0.647058823529412,0.8,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.152941176470588,0.314285714285714,0.347058823529412,0.53
"N_503_708","708","N","503",0.282420828650909,"X13","X01","13","01",22,12,27,4,0.647058823529412,0.870967741935484,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.223908918406072,0.213592233009709,0.276091081593928,0.14
"N_503_714","714","N","503",0.465909378414122,"X13","Z12","13","12",22,12,23,10,0.647058823529412,0.696969696969697,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0499108734402852,0.443548387096774,0.450089126559715,0.47
"N_503_720","720","N","503",0.441026069518717,"X13","Y08","13","08",22,12,22,10,0.647058823529412,0.6875,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0404411764705882,0.454545454545455,0.459558823529412,0.35
"N_503_721","721","N","503",0.306691261181892,"X13","X02","13","02",22,12,27,5,0.647058823529412,0.84375,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.196691176470588,0.253456221198157,0.303308823529412,0.17
"N_503_722","722","N","503",0.452163256606991,"X13","W08","13","08",22,12,22,11,0.647058823529412,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0196078431372548,0.478260869565217,0.480392156862745,0.35
"N_503_731","731","N","503",0.282420828650909,"X13","W01","13","01",22,12,27,4,0.647058823529412,0.870967741935484,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.223908918406072,0.213592233009709,0.276091081593928,0.14
"N_503_733","733","N","503",0.4664882081865,"X13","W13","13","13",22,12,22,9,0.647058823529412,0.709677419354839,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0626185958254269,0.428571428571428,0.437381404174573,0.5
"N_503_738","738","N","503",0.392338766832034,"X13","Z05","13","05",22,12,25,9,0.647058823529412,0.735294117647059,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0882352941176471,0.397590361445783,0.411764705882353,0.26
"N_503_740","740","N","503",0.536188361958245,"X13","X16","13","16",22,12,18,11,0.647058823529412,0.620689655172414,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.026369168356998,0.528384279475983,0.526369168356998,0.59
"N_503_745","745","N","503",0.483561834182492,"X13","Y15","13","15",22,12,24,10,0.647058823529412,0.705882352941177,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0588235294117647,0.433070866141732,0.441176470588235,0.56
"N_503_765","765","N","503",0.456795256737777,"X13","X14","13","14",22,12,20,7,0.647058823529412,0.740740740740741,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0936819172113289,0.390862944162437,0.406318082788671,0.53
"N_503_766","766","N","503",0.392413034663729,"X13","Y09","13","09",22,12,26,7,0.647058823529412,0.787878787878788,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.140819964349376,0.330472103004292,0.359180035650624,0.38
"N_503_786","786","N","503",0.377338766832034,"X13","X03","13","03",22,12,25,9,0.647058823529412,0.735294117647059,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0882352941176471,0.397590361445783,0.411764705882353,0.2
"N_503_789","789","N","503",0.474663256606991,"X13","X11","13","11",22,12,22,11,0.647058823529412,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0196078431372548,0.478260869565217,0.480392156862745,0.44
"N_503_790","790","N","503",0.47558077353563,"X13","W09","13","09",22,12,21,12,0.647058823529412,0.636363636363636,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.0106951871657754,0.511627906976744,0.510695187165775,0.38
"N_503_793","793","N","503",0.444663256606991,"X13","W07","13","07",22,12,22,11,0.647058823529412,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0196078431372548,0.478260869565217,0.480392156862745,0.32
"N_503_794","794","N","503",0.431507585629188,"X13","Z09","13","09",22,12,23,9,0.647058823529412,0.71875,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0716911764705882,0.417721518987342,0.428308823529412,0.38
"N_503_810","810","N","503",0.38730774127833,"X13","W06","13","06",22,12,25,8,0.647058823529412,0.757575757575758,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.110516934046346,0.369747899159664,0.389483065953654,0.29
"N_503_818","818","N","503",0.48308077353563,"X13","Y10","13","10",22,12,21,12,0.647058823529412,0.636363636363636,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.0106951871657754,0.511627906976744,0.510695187165775,0.41
"N_503_821","821","N","503",0.38409229208925,"X13","Y05","13","05",22,12,24,8,0.647058823529412,0.75,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.102941176470588,0.379310344827586,0.397058823529412,0.26
"N_503_822","822","N","503",0.352526451781714,"X13","Z11","13","11",22,12,29,4,0.647058823529412,0.878787878787879,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.231729055258467,0.201834862385321,0.268270944741533,0.44
"N_503_825","825","N","503",0.441798375916023,"X13","W11","13","11",22,12,24,9,0.647058823529412,0.727272727272727,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0802139037433155,0.407407407407407,0.419786096256685,0.44
"N_503_829","829","N","503",0.347413034663729,"X13","W03","13","03",22,12,26,7,0.647058823529412,0.787878787878788,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.140819964349376,0.330472103004292,0.359180035650624,0.2
"N_503_835","835","N","503",0.441125967657974,"X13","X12","13","12",22,12,23,8,0.647058823529412,0.741935483870968,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.094876660341556,0.389380530973451,0.405123339658444,0.47
"N_503_839","839","N","503",0.347836134453781,"X13","Y04","13","04",22,12,24,6,0.647058823529412,0.8,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.152941176470588,0.314285714285714,0.347058823529412,0.23
"N_503_840","840","N","503",0.372307741278329,"X13","Z04","13","04",22,12,25,8,0.647058823529412,0.757575757575758,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.110516934046346,0.369747899159664,0.389483065953654,0.23
"N_503_843","843","N","503",0.431942425618896,"X13","Y06","13","06",22,12,23,11,0.647058823529412,0.676470588235294,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0294117647058824,0.467181467181467,0.470588235294118,0.29
"N_503_849","849","N","503",0.510185240894155,"X13","W12","13","12",22,12,19,12,0.647058823529412,0.612903225806452,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.0341555977229602,0.536585365853659,0.53415559772296,0.47
"N_503_853","853","N","503",0.35875396799689,"X13","W04","13","04",22,12,25,7,0.647058823529412,0.78125,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.134191176470588,0.33920704845815,0.365808823529412,0.23
"N_506_509","509","N","506",0.437180012748247,"Y16a","W14","16","14",20,9,24,7,0.689655172413793,0.774193548387097,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0845383759733036,0.393258426966292,0.415461624026696,0.44
"N_506_511","511","N","506",0.519788358068646,"Y16a","Y12","16","12",20,9,19,13,0.689655172413793,0.59375,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.0959051724137931,0.603248259860789,0.595905172413793,0.38
"N_506_512","512","N","506",0.40423197492163,"Y16a","X06","16","06",20,9,24,9,0.689655172413793,0.727272727272727,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0376175548589341,0.454545454545455,0.462382445141066,0.2
"N_506_524","524","N","506",0.468312303345534,"Y16a","W15","16","15",20,9,22,8,0.689655172413793,0.733333333333333,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0436781609195401,0.446927374301676,0.45632183908046,0.47
"N_506_527","527","N","506",0.444826073805203,"Y16a","Y07","16","07",20,9,22,11,0.689655172413793,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.0229885057471265,0.526315789473684,0.522988505747127,0.23
"N_506_535","535","N","506",0.363503536693192,"Y16a","X09","16","09",20,9,25,5,0.689655172413793,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.14367816091954,0.307692307692308,0.35632183908046,0.29
"N_506_536","536","N","506",0.392180012748247,"Y16a","Z08","16","08",20,9,24,7,0.689655172413793,0.774193548387097,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0845383759733036,0.393258426966292,0.415461624026696,0.26
"N_506_539","539","N","506",0.433666933806966,"Y16a","Z07","16","07",20,9,22,10,0.689655172413793,0.6875,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.00215517241379315,0.50251256281407,0.502155172413793,0.23
"N_506_547","547","N","506",0.594827586206897,"Y16a","Z16","16","16",20,9,16,16,0.689655172413793,0.5,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.189655172413793,0.689655172413793,0.689655172413793,0.5
"N_506_551","551","N","506",0.403421747748785,"Y16a","X07","16","07",20,9,23,8,0.689655172413793,0.741935483870968,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0522803114571746,0.435967302452316,0.447719688542825,0.23
"N_506_552","552","N","506",0.478666933806966,"Y16a","Y13","16","13",20,9,22,10,0.689655172413793,0.6875,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.00215517241379315,0.50251256281407,0.502155172413793,0.41
"N_506_559","559","N","506",0.27909136226354,"Y16a","Z01","16","01",20,9,27,4,0.689655172413793,0.870967741935484,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.181312569521691,0.247678018575851,0.318687430478309,0.05
"N_506_561","561","N","506",0.485,"Y16a","Z14","16","14",20,9,20,9,0.689655172413793,0.689655172413793,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0,0.5,0.5,0.44
"N_506_565","565","N","506",0.5628738477296,"Y16a","Z15","16","15",20,9,16,13,0.689655172413793,0.551724137931034,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.137931034482759,0.643564356435644,0.637931034482759,0.47
"N_506_569","569","N","506",0.406526983834286,"Y16a","Y11","16","11",20,9,26,7,0.689655172413793,0.787878787878788,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0982236154649947,0.374331550802139,0.401776384535005,0.35
"N_506_577","577","N","506",0.317176601452594,"Y16a","W02","16","02",20,9,28,6,0.689655172413793,0.823529411764706,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.133874239350913,0.32258064516129,0.366125760649087,0.08
"N_506_586","586","N","506",0.501166933806966,"Y16a","W16","16","16",20,9,22,10,0.689655172413793,0.6875,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.00215517241379315,0.50251256281407,0.502155172413793,0.5
"N_506_595","595","N","506",0.392201374802795,"Y16a","W05","16","05",20,9,25,9,0.689655172413793,0.735294117647059,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0456389452332657,0.444444444444444,0.454361054766734,0.17
"N_506_607","607","N","506",0.326003536693192,"Y16a","X04","16","04",20,9,25,5,0.689655172413793,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.14367816091954,0.307692307692308,0.35632183908046,0.14
"N_506_623","623","N","506",0.39673197492163,"Y16a","X05","16","05",20,9,24,9,0.689655172413793,0.727272727272727,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0376175548589341,0.454545454545455,0.462382445141066,0.17
"N_506_636","636","N","506",0.350491704062352,"Y16a","Y03","16","03",20,9,25,7,0.689655172413793,0.78125,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0915948275862069,0.383561643835616,0.408405172413793,0.11
"N_506_651","651","N","506",0.293815308254963,"Y16a","Y01","16","01",20,9,28,5,0.689655172413793,0.848484848484849,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.158829676071055,0.284090909090909,0.341170323928945,0.05
"N_506_655","655","N","506",0.384026983834286,"Y16a","X08","16","08",20,9,26,7,0.689655172413793,0.787878787878788,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0982236154649947,0.374331550802139,0.401776384535005,0.26
"N_506_660","660","N","506",0.40423197492163,"Y16a","Z06","16","06",20,9,24,9,0.689655172413793,0.727272727272727,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0376175548589341,0.454545454545455,0.462382445141066,0.2
"N_506_662","662","N","506",0.49862591431557,"Y16a","Z10","16","10",20,9,20,13,0.689655172413793,0.606060606060606,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.0835945663531871,0.590909090909091,0.583594566353187,0.32
"N_506_666","666","N","506",0.25872040424348,"Y16a","Z02","16","02",20,9,31,3,0.689655172413793,0.911764705882353,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.22210953346856,0.176991150442478,0.27789046653144,0.08
"N_506_670","670","N","506",0.504788358068646,"Y16a","X10","16","10",20,9,19,13,0.689655172413793,0.59375,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.0959051724137931,0.603248259860789,0.595905172413793,0.32
"N_506_671","671","N","506",0.324034555815313,"Y16a","Y02","16","02",20,9,26,6,0.689655172413793,0.8125,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.122844827586207,0.338983050847458,0.377155172413793,0.08
"N_506_673","673","N","506",0.461593658763951,"Y16a","W10","16","10",20,9,21,10,0.689655172413793,0.67741935483871,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.0122358175750835,0.51413881748072,0.512235817575084,0.32
"N_506_675","675","N","506",0.500135388590958,"Y16a","Z13","16","13",20,9,22,12,0.689655172413793,0.647058823529412,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.0425963488843814,0.547945205479452,0.542596348884381,0.41
"N_506_676","676","N","506",0.324676601452594,"Y16a","Z03","16","03",20,9,28,6,0.689655172413793,0.823529411764706,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.133874239350913,0.32258064516129,0.366125760649087,0.11
"N_506_682","682","N","506",0.455164207010733,"Y16a","Y16b","16","16",20,9,17,15,0.689655172413793,0.53125,"N",134,682,58,506,43,0,0,506,682,0.158405172413793,0.662251655629139,0.658405172413793,0.5
"N_506_683","683","N","506",0.504826073805203,"Y16a","X15","16","15",20,9,22,11,0.689655172413793,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.0229885057471265,0.526315789473684,0.522988505747127,0.47
"N_506_689","689","N","506",0.421699507389163,"Y16a","Y14","16","14",20,9,24,6,0.689655172413793,0.8,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.110344827586207,0.357142857142857,0.389655172413793,0.44
"N_506_708","708","N","506",0.27909136226354,"Y16a","X01","16","01",20,9,27,4,0.689655172413793,0.870967741935484,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.181312569521691,0.247678018575851,0.318687430478309,0.05
"N_506_714","714","N","506",0.466021491711147,"Y16a","Z12","16","12",20,9,23,10,0.689655172413793,0.696969696969697,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.00731452455590387,0.491400491400491,0.492685475444096,0.38
"N_506_720","720","N","506",0.441166933806966,"Y16a","Y08","16","08",20,9,22,10,0.689655172413793,0.6875,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.00215517241379315,0.50251256281407,0.502155172413793,0.26
"N_506_721","721","N","506",0.304362590479542,"Y16a","X02","16","02",20,9,27,5,0.689655172413793,0.84375,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.154094827586207,0.291545189504373,0.345905172413793,0.08
"N_506_722","722","N","506",0.452326073805203,"Y16a","W08","16","08",20,9,22,11,0.689655172413793,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.0229885057471265,0.526315789473684,0.522988505747127,0.26
"N_506_731","731","N","506",0.27909136226354,"Y16a","W01","16","01",20,9,27,4,0.689655172413793,0.870967741935484,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.181312569521691,0.247678018575851,0.318687430478309,0.05
"N_506_733","733","N","506",0.466542057312358,"Y16a","W13","16","13",20,9,22,9,0.689655172413793,0.709677419354839,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0200222469410456,0.476190476190476,0.479977753058954,0.41
"N_506_738","738","N","506",0.392201374802795,"Y16a","Z05","16","05",20,9,25,9,0.689655172413793,0.735294117647059,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0456389452332657,0.444444444444444,0.454361054766734,0.17
"N_506_740","740","N","506",0.536220436901968,"Y16a","X16","16","16",20,9,18,11,0.689655172413793,0.620689655172414,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.0689655172413793,0.575916230366492,0.568965517241379,0.5
"N_506_745","745","N","506",0.483635512560462,"Y16a","Y15","16","15",20,9,24,10,0.689655172413793,0.705882352941177,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0162271805273834,0.480769230769231,0.483772819472617,0.47
"N_506_765","765","N","506",0.456603607918263,"Y16a","X14","16","14",20,9,20,7,0.689655172413793,0.740740740740741,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0510855683269476,0.4375,0.448914431673052,0.44
"N_506_766","766","N","506",0.391526983834286,"Y16a","Y09","16","09",20,9,26,7,0.689655172413793,0.787878787878788,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0982236154649947,0.374331550802139,0.401776384535005,0.29
"N_506_786","786","N","506",0.377201374802795,"Y16a","X03","16","03",20,9,25,9,0.689655172413793,0.735294117647059,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0456389452332657,0.444444444444444,0.454361054766734,0.11
"N_506_789","789","N","506",0.474826073805203,"Y16a","X11","16","11",20,9,22,11,0.689655172413793,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.0229885057471265,0.526315789473684,0.522988505747127,0.35
"N_506_790","790","N","506",0.475683023872679,"Y16a","W09","16","09",20,9,21,12,0.689655172413793,0.636363636363636,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.0532915360501568,0.55944055944056,0.553291536050157,0.29
"N_506_793","793","N","506",0.444826073805203,"Y16a","W07","16","07",20,9,22,11,0.689655172413793,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.0229885057471265,0.526315789473684,0.522988505747127,0.23
"N_506_794","794","N","506",0.43150536287089,"Y16a","Z09","16","09",20,9,23,9,0.689655172413793,0.71875,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0290948275862069,0.465116279069767,0.470905172413793,0.29
"N_506_810","810","N","506",0.386915957605613,"Y16a","W06","16","06",20,9,25,8,0.689655172413793,0.757575757575758,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0679205851619644,0.415584415584416,0.432079414838036,0.2
"N_506_818","818","N","506",0.483183023872679,"Y16a","Y10","16","10",20,9,21,12,0.689655172413793,0.636363636363636,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.0532915360501568,0.55944055944056,0.553291536050157,0.32
